ledger_entry_id,entry_group_id,account,direction,amount_paise,order_id,payment_id,refund_id,settlement_id,seller_id,ledger_date,description
L_00032,G_0012,RAZORPAY_CLEARING,CR,300000,,EV03_P1,EV03_R1,,,2026-02-07,refund
L_00033,G_0013,BANK,DR,578760,,EV03_P1,,EV_03,,2026-02-10,settlement
L_00034,G_0013,GATEWAY_FEES,DR,18000,,EV03_P1,,EV_03,,2026-02-10,settlement
L_00035,G_0013,INPUT_GST,DR,3240,,EV03_P1,,EV_03,,2026-02-10,settlement
L_00036,G_0013,RAZORPAY_CLEARING,CR,600000,,EV03_P1,,EV_03,,2026-02-10,settlement
L_00037,G_0014,RAZORPAY_CLEARING,DR,1000000,ORD_0007,EV04_P1,,,,2026-02-08,capture
L_00038,G_0014,SALES,CR,1000000,ORD_0007,EV04_P1,,,,2026-02-08,capture
L_00039,G_0015,BANK,DR,970500,,EV04_P1,,EV_04,,2026-02-11,settlement
L_00040,G_0015,GATEWAY_FEES,DR,25000,,EV04_P1,,EV_04,,2026-02-11,settlement
L_00041,G_0015,INPUT_GST,DR,4500,,EV04_P1,,EV_04,,2026-02-11,settlement
L_00042,G_0015,RAZORPAY_CLEARING,CR,1000000,,EV04_P1,,EV_04,,2026-02-11,settlement
L_00043,G_0016,RAZORPAY_CLEARING,DR,120200,ORD_0008,EV05_P1,,,,2026-02-10,capture
L_00044,G_0016,SALES,CR,120200,ORD_0008,EV05_P1,,,,2026-02-10,capture
L_00045,G_0017,BANK,DR,117363,,EV05_P1,,EV_05,,2026-02-13,settlement
L_00046,G_0017,GATEWAY_FEES,DR,2404,,EV05_P1,,EV_05,,2026-02-13,settlement
L_00047,G_0017,INPUT_GST,DR,433,,EV05_P1,,EV_05,,2026-02-13,settlement
L_00048,G_0017,RAZORPAY_CLEARING,CR,120200,,EV05_P1,,EV_05,,2026-02-13,settlement
L_00049,G_0018,RAZORPAY_CLEARING,DR,180500,ORD_0009,EV05_P2,,,,2026-02-10,capture
L_00050,G_0018,SALES,CR,180500,ORD_0009,EV05_P2,,,,2026-02-10,capture
L_00051,G_0019,BANK,DR,176240,,EV05_P2,,EV_05,,2026-02-13,settlement
L_00052,G_0019,GATEWAY_FEES,DR,3610,,EV05_P2,,EV_05,,2026-02-13,settlement
L_00053,G_0019,INPUT_GST,DR,650,,EV05_P2,,EV_05,,2026-02-13,settlement
L_00054,G_0019,RAZORPAY_CLEARING,CR,180500,,EV05_P2,,EV_05,,2026-02-13,settlement
L_00055,G_0020,RAZORPAY_CLEARING,DR,240700,ORD_0010,EV05_P3,,,,2026-02-10,capture
L_00056,G_0020,SALES,CR,240700,ORD_0010,EV05_P3,,,,2026-02-10,capture
L_00057,G_0021,BANK,DR,235019,,EV05_P3,,EV_05,,2026-02-13,settlement
L_00058,G_0021,GATEWAY_FEES,DR,4814,,EV05_P3,,EV_05,,2026-02-13,settlement
L_00059,G_0021,INPUT_GST,DR,867,,EV05_P3,,EV_05,,2026-02-13,settlement
L_00060,G_0021,RAZORPAY_CLEARING,CR,240700,,EV05_P3,,EV_05,,2026-02-13,settlement
L_00061,G_0022,RAZORPAY_CLEARING,DR,300800,ORD_0011,EV05_P4,,,,2026-02-10,capture
L_00062,G_0022,SALES,CR,300800,ORD_0011,EV05_P4,,,,2026-02-10,capture
L_00063,G_0023,BANK,DR,293701,,EV05_P4,,EV_05,,2026-02-13,settlement
L_00064,G_0023,GATEWAY_FEES,DR,6016,,EV05_P4,,EV_05,,2026-02-13,settlement
L_00065,G_0023,INPUT_GST,DR,1083,,EV05_P4,,EV_05,,2026-02-13,settlement
L_00066,G_0023,RAZORPAY_CLEARING,CR,300800,,EV05_P4,,EV_05,,2026-02-13,settlement
L_00067,G_0024,RAZORPAY_CLEARING,DR,361000,ORD_0012,EV05_P5,,,,2026-02-10,capture
L_00068,G_0024,SALES,CR,361000,ORD_0012,EV05_P5,,,,2026-02-10,capture
L_00069,G_0025,BANK,DR,352480,,EV05_P5,,EV_05,,2026-02-13,settlement
L_00070,G_0025,GATEWAY_FEES,DR,7220,,EV05_P5,,EV_05,,2026-02-13,settlement
L_00071,G_0025,INPUT_GST,DR,1300,,EV05_P5,,EV_05,,2026-02-13,settlement
L_00072,G_0025,RAZORPAY_CLEARING,CR,361000,,EV05_P5,,EV_05,,2026-02-13,settlement
L_00073,G_0026,RAZORPAY_CLEARING,DR,421100,ORD_0013,EV05_P6,,,,2026-02-10,capture
L_00074,G_0026,SALES,CR,421100,ORD_0013,EV05_P6,,,,2026-02-10,capture
L_00075,G_0027,BANK,DR,411162,,EV05_P6,,EV_05,,2026-02-13,settlement
L_00076,G_0027,GATEWAY_FEES,DR,8422,,EV05_P6,,EV_05,,2026-02-13,settlement
L_00077,G_0027,INPUT_GST,DR,1516,,EV05_P6,,EV_05,,2026-02-13,settlement
L_00078,G_0027,RAZORPAY_CLEARING,CR,421100,,EV05_P6,,EV_05,,2026-02-13,settlement
L_00079,G_0028,RAZORPAY_CLEARING,DR,1200000,ORD_0014,EV06_P1,,,,2026-02-12,capture
L_00080,G_0028,SALES,CR,1200000,ORD_0014,EV06_P1,,,,2026-02-12,capture
L_00081,G_0029,REFUNDS,DR,400000,,EV06_P1,EV06_R1,,,2026-02-13,refund
L_00082,G_0029,RAZORPAY_CLEARING,CR,400000,,EV06_P1,EV06_R1,,,2026-02-13,refund
L_00083,G_0030,BANK,DR,771680,,EV06_P1,,EV_06,,2026-02-17,settlement
L_00084,G_0030,GATEWAY_FEES,DR,24000,,EV06_P1,,EV_06,,2026-02-17,settlement
L_00085,G_0030,INPUT_GST,DR,4320,,EV06_P1,,EV_06,,2026-02-17,settlement
L_00086,G_0030,RAZORPAY_CLEARING,CR,800000,,EV06_P1,,EV_06,,2026-02-17,settlement
L_00087,G_0031,RAZORPAY_CLEARING,DR,800000,ORD_0015,EV07_P1,,,,2026-02-14,capture
L_00088,G_0031,SALES,CR,800000,ORD_0015,EV07_P1,,,,2026-02-14,capture
L_00089,G_0032,REFUNDS,DR,150000,,EV07_P1,EV07_R1,,,2026-02-16,refund
L_00090,G_0032,RAZORPAY_CLEARING,CR,150000,,EV07_P1,EV07_R1,,,2026-02-16,refund
L_00091,G_0033,BANK,DR,631120,,EV07_P1,,EV_07,,2026-02-18,settlement
L_00092,G_0033,GATEWAY_FEES,DR,16000,,EV07_P1,,EV_07,,2026-02-18,settlement
L_00093,G_0033,INPUT_GST,DR,2880,,EV07_P1,,EV_07,,2026-02-18,settlement
L_00094,G_0033,RAZORPAY_CLEARING,CR,650000,,EV07_P1,,EV_07,,2026-02-18,settlement
L_00095,G_0034,RAZORPAY_CLEARING,DR,700000,ORD_0016,EV08_P1,,,,2026-02-16,capture
L_00096,G_0034,SALES,CR,700000,ORD_0016,EV08_P1,,,,2026-02-16,capture
L_00097,G_0035,BANK,DR,683480,,EV08_P1,,EV_08,,2026-02-19,settlement
L_00098,G_0035,GATEWAY_FEES,DR,14000,,EV08_P1,,EV_08,,2026-02-19,settlement
L_00099,G_0035,INPUT_GST,DR,2520,,EV08_P1,,EV_08,,2026-02-19,settlement
L_00100,G_0035,RAZORPAY_CLEARING,CR,700000,,EV08_P1,,EV_08,,2026-02-19,settlement
L_00101,G_0036,RAZORPAY_CLEARING,DR,250000,ORD_0017,EV08_P2,,,,2026-02-17,capture
L_00102,G_0036,SALES,CR,250000,ORD_0017,EV08_P2,,,,2026-02-17,capture
L_00103,G_0037,BANK,DR,250000,,EV08_P2,,EV_08,,2026-02-19,settlement
L_00104,G_0037,RAZORPAY_CLEARING,CR,250000,,EV08_P2,,EV_08,,2026-02-19,settlement
L_00105,G_0038,RAZORPAY_CLEARING,DR,950000,ORD_0018,EV09_P1,,,,2026-02-18,capture
L_00106,G_0038,SALES,CR,950000,ORD_0018,EV09_P1,,,,2026-02-18,capture
L_00107,G_0039,BANK,DR,927580,,EV09_P1,,EV_09,,2026-02-21,settlement
L_00108,G_0039,GATEWAY_FEES,DR,19000,,EV09_P1,,EV_09,,2026-02-21,settlement
L_00109,G_0039,INPUT_GST,DR,3420,,EV09_P1,,EV_09,,2026-02-21,settlement
L_00110,G_0039,RAZORPAY_CLEARING,CR,950000,,EV09_P1,,EV_09,,2026-02-21,settlement
L_00111,G_0040,RAZORPAY_CLEARING,DR,1400000,ORD_0019,EV10_P1,,,,2026-02-20,capture
L_00112,G_0040,SALES,CR,1400000,ORD_0019,EV10_P1,,,,2026-02-20,capture
L_00113,G_0041,BANK,DR,1366960,,EV10_P1,,EV_10,,2026-02-24,settlement
L_00114,G_0041,GATEWAY_FEES,DR,28000,,EV10_P1,,EV_10,,2026-02-24,settlement
L_00115,G_0041,INPUT_GST,DR,5040,,EV10_P1,,EV_10,,2026-02-24,settlement
L_00116,G_0041,RAZORPAY_CLEARING,CR,1400000,,EV10_P1,,EV_10,,2026-02-24,settlement
L_00117,G_0042,RAZORPAY_CLEARING,DR,900000,ORD_0020,EV11_P1,,,,2026-02-22,capture
L_00118,G_0042,SALES,CR,900000,ORD_0020,EV11_P1,,,,2026-02-22,capture
L_00119,G_0043,BANK,DR,878760,,EV11_P1,,EV_11,,2026-02-25,settlement
L_00120,G_0043,GATEWAY_FEES,DR,18000,,EV11_P1,,EV_11,,2026-02-25,settlement
L_00121,G_0043,INPUT_GST,DR,3240,,EV11_P1,,EV_11,,2026-02-25,settlement
L_00122,G_0043,RAZORPAY_CLEARING,CR,900000,,EV11_P1,,EV_11,,2026-02-25,settlement
L_00123,G_0044,RAZORPAY_CLEARING,DR,600000,ORD_0021,EV11_P2,,,,2026-02-23,capture
L_00124,G_0044,SALES,CR,600000,ORD_0021,EV11_P2,,,,2026-02-23,capture
L_00125,G_0045,BANK,DR,587610,,EV11_P2,,EV_11,,2026-02-25,settlement
L_00126,G_0045,GATEWAY_FEES,DR,10500,,EV11_P2,,EV_11,,2026-02-25,settlement
L_00127,G_0045,INPUT_GST,DR,1890,,EV11_P2,,EV_11,,2026-02-25,settlement
L_00128,G_0045,RAZORPAY_CLEARING,CR,600000,,EV11_P2,,EV_11,,2026-02-25,settlement
L_00129,G_0046,RAZORPAY_CLEARING,DR,700000,ORD_0022,EV12_P1,,,,2026-02-24,capture
L_00130,G_0046,SALES,CR,700000,ORD_0022,EV12_P1,,,,2026-02-24,capture
L_00131,G_0047,BANK,DR,683480,,EV12_P1,,EV_12,,2026-02-26,settlement
L_00132,G_0047,GATEWAY_FEES,DR,14000,,EV12_P1,,EV_12,,2026-02-26,settlement
L_00133,G_0047,INPUT_GST,DR,2520,,EV12_P1,,EV_12,,2026-02-26,settlement
L_00134,G_0047,RAZORPAY_CLEARING,CR,700000,,EV12_P1,,EV_12,,2026-02-26,settlement
L_00135,G_0048,RAZORPAY_CLEARING,DR,550000,ORD_0023,EV13_P1,,,,2026-02-26,capture
L_00136,G_0048,SALES,CR,550000,ORD_0023,EV13_P1,,,,2026-02-26,capture
L_00137,G_0049,BANK,DR,538642,,EV13_P1,,EV_13,,2026-02-27,settlement
L_00138,G_0049,GATEWAY_FEES,DR,9625,,EV13_P1,,EV_13,,2026-02-27,settlement
L_00139,G_0049,INPUT_GST,DR,1733,,EV13_P1,,EV_13,,2026-02-27,settlement
L_00140,G_0049,RAZORPAY_CLEARING,CR,550000,,EV13_P1,,EV_13,,2026-02-27,settlement
L_00141,G_0050,RAZORPAY_CLEARING,DR,1100000,ORD_0024,EV14_P1,,,,2026-02-28,capture
L_00142,G_0050,SALES,CR,1100000,ORD_0024,EV14_P1,,,,2026-02-28,capture
L_00143,G_0051,BANK,DR,1074040,,EV14_P1,,EV_14,,2026-03-03,settlement
L_00144,G_0051,GATEWAY_FEES,DR,22000,,EV14_P1,,EV_14,,2026-03-03,settlement
L_00145,G_0051,INPUT_GST,DR,3960,,EV14_P1,,EV_14,,2026-03-03,settlement
L_00146,G_0051,RAZORPAY_CLEARING,CR,1100000,,EV14_P1,,EV_14,,2026-03-03,settlement
L_00147,G_0052,RAZORPAY_CLEARING,DR,1000000,ORD_0025,EV15_P1,,,,2026-03-02,capture
L_00148,G_0052,SALES,CR,1000000,ORD_0025,EV15_P1,,,,2026-03-02,capture
L_00149,G_0053,BANK,DR,976400,,EV15_P1,,EV_15,,2026-03-05,settlement
L_00150,G_0053,GATEWAY_FEES,DR,20000,,EV15_P1,,EV_15,,2026-03-05,settlement
L_00151,G_0053,INPUT_GST,DR,3600,,EV15_P1,,EV_15,,2026-03-05,settlement
L_00152,G_0053,RAZORPAY_CLEARING,CR,1000000,,EV15_P1,,EV_15,,2026-03-05,settlement
L_00153,G_0054,BANK,DR,976400,,EV15_P1,,EV_15,,2026-03-05,settlement (duplicate)
L_00154,G_0054,GATEWAY_FEES,DR,20000,,EV15_P1,,EV_15,,2026-03-05,settlement (duplicate)
L_00155,G_0054,INPUT_GST,DR,3600,,EV15_P1,,EV_15,,2026-03-05,settlement (duplicate)
L_00156,G_0054,RAZORPAY_CLEARING,CR,1000000,,EV15_P1,,EV_15,,2026-03-05,settlement (duplicate)
L_00157,G_0055,RAZORPAY_CLEARING,DR,850000,ORD_0026,EV16_P1,,,,2026-03-04,capture
L_00158,G_0055,SALES,CR,850000,ORD_0026,EV16_P1,,,,2026-03-04,capture
L_00159,G_0056,RAZORPAY_CLEARING,DR,1250000,ORD_0027,EV17_P1,,,,2026-03-06,capture
L_00160,G_0056,SALES,CR,1250000,ORD_0027,EV17_P1,,,,2026-03-06,capture
L_00161,G_0057,BANK,DR,1220500,,EV17_P1,,EV_17,,2026-03-07,settlement
L_00162,G_0057,SALES,DR,25000,,EV17_P1,,EV_17,,2026-03-07,settlement
L_00163,G_0057,INPUT_GST,DR,4500,,EV17_P1,,EV_17,,2026-03-07,settlement
L_00164,G_0057,RAZORPAY_CLEARING,CR,1250000,,EV17_P1,,EV_17,,2026-03-07,settlement
L_00165,G_0058,RAZORPAY_CLEARING,DR,1200000,ORD_0028,EV18_P1,,,,2026-03-08,capture
L_00166,G_0058,SALES,CR,1200000,ORD_0028,EV18_P1,,,,2026-03-08,capture
L_00167,G_0059,BANK,DR,1171680,,EV18_P1,,EV_18,,2026-03-10,settlement
L_00168,G_0059,GATEWAY_FEES,DR,24000,,EV18_P1,,EV_18,,2026-03-10,settlement
L_00169,G_0059,INPUT_GST,DR,4320,,EV18_P1,,EV_18,,2026-03-10,settlement
L_00170,G_0059,RAZORPAY_CLEARING,CR,1200000,,EV18_P1,,EV_18,,2026-03-10,settlement
L_00171,G_0060,RAZORPAY_CLEARING,DR,950000,ORD_0029,EV19_P1,,,,2026-03-10,capture
L_00172,G_0060,SALES,CR,950000,ORD_0029,EV19_P1,,,,2026-03-10,capture
L_00173,G_0061,BANK,DR,927580,,EV19_P1,,EV_19,,2026-03-11,settlement
L_00174,G_0061,GATEWAY_FEES,DR,19000,,EV19_P1,,EV_19,,2026-03-11,settlement
L_00175,G_0061,INPUT_GST,DR,3420,,EV19_P1,,EV_19,,2026-03-11,settlement
L_00176,G_0061,RAZORPAY_CLEARING,CR,950000,,EV19_P1,,EV_19,,2026-03-11,settlement
L_00177,G_0062,RAZORPAY_CLEARING,DR,450000,ORD_0030,EV20_P1,,,,2026-03-12,capture
L_00178,G_0062,SALES,CR,450000,ORD_0030,EV20_P1,,,,2026-03-12,capture
L_00179,G_0063,BANK,DR,439380,,EV20_P1,,EV_20,,2026-03-13,settlement
L_00180,G_0063,GATEWAY_FEES,DR,9000,,EV20_P1,,EV_20,,2026-03-13,settlement
L_00181,G_0063,INPUT_GST,DR,1620,,EV20_P1,,EV_20,,2026-03-13,settlement
L_00182,G_0063,RAZORPAY_CLEARING,CR,450000,,EV20_P1,,EV_20,,2026-03-13,settlement
L_00183,G_0064,RAZORPAY_CLEARING,DR,450000,ORD_0031,EV20_P2,,,,2026-03-12,capture
L_00184,G_0064,SALES,CR,450000,ORD_0031,EV20_P2,,,,2026-03-12,capture
L_00185,G_0065,BANK,DR,439380,,EV20_P2,,EV_20,,2026-03-13,settlement
L_00186,G_0065,GATEWAY_FEES,DR,9000,,EV20_P2,,EV_20,,2026-03-13,settlement
L_00187,G_0065,INPUT_GST,DR,1620,,EV20_P2,,EV_20,,2026-03-13,settlement
L_00188,G_0065,RAZORPAY_CLEARING,CR,450000,,EV20_P2,,EV_20,,2026-03-13,settlement
L_00189,G_0066,RAZORPAY_CLEARING,DR,500000,ORD_0032,EV21_P1,,,,2026-03-14,capture
L_00190,G_0066,SALES,CR,500000,ORD_0032,EV21_P1,,,,2026-03-14,capture
L_00191,G_0067,BANK,DR,488200,,EV21_P1,,EV_21,,2026-03-17,settlement
L_00192,G_0067,GATEWAY_FEES,DR,10000,,EV21_P1,,EV_21,,2026-03-17,settlement
L_00193,G_0067,INPUT_GST,DR,1800,,EV21_P1,,EV_21,,2026-03-17,settlement
L_00194,G_0067,RAZORPAY_CLEARING,CR,500000,,EV21_P1,,EV_21,,2026-03-17,settlement
L_00195,G_0068,RAZORPAY_CLEARING,DR,500000,ORD_0033,EV22_P1,,,,2026-03-16,capture
L_00196,G_0068,SALES,CR,500000,ORD_0033,EV22_P1,,,,2026-03-16,capture
L_00197,G_0069,BANK,DR,488200,,EV22_P1,,EV_22,,2026-03-18,settlement
L_00198,G_0069,GATEWAY_FEES,DR,10000,,EV22_P1,,EV_22,,2026-03-18,settlement
L_00199,G_0069,INPUT_GST,DR,1800,,EV22_P1,,EV_22,,2026-03-18,settlement
L_00200,G_0069,RAZORPAY_CLEARING,CR,500000,,EV22_P1,,EV_22,,2026-03-18,settlement
